Name,Description,Certification Date,Location,Sector,Website,Overall Score,Governance,Workers,Community,Environment,Customers
Goodwings,"Goodwings is an impact-driven, Denmark-based hotel booking platform built on partnerships. Instead of wasting vast amounts of money on advertising like the other hotel booking sites, they have a global network of 100 nonprofit partners in +40 countries and they act as their ambassadors and marketing channel, spreading the good news about Goodwings. Their business model enables conscious businesses to get access to wholesale prices on hotels, saving money on travel while supporting people and planet for free. Thereby they aim to be a catalyst for sustainable change and turn the travel industry into a force for good.","January, 2019","Copenhagen, Copenhagen, Denmark",Service with Minor Environmental Footprint,www.goodwings.com,86.3,16.9,23.5,42.2,3.6,
Carla Fernández,"Carla Fernández is a Mexico City-based fashion label inspired by the geometrics and textile richness of Mexico. The brand has gained international acclaim for their approach to preserving the rich cultural heritage of Mexico’s indigenous communities and transforming it into beautiful clothing, textiles and housewares.","February, 2018","Ciudad de Mexico, Ciudad de México, Mexico",Wholesale/Retail,www.carlafernandez.com,81.9,14.9,24.0,31.9,4.5,6.6
Abel & Cole,"Abel & Cole are on a mission to get everyone, everywhere eating organically and ethically. Since day one, Abel & Cole have tried to do things the right way. Back in 1988, Keith Abel and Paul Cole sold the first sack of spuds. When they learned of the difference between organic and not, a commitment to the reassuring values of organic was born. Organic is a conscientious way of tending to the land. It’s food as it should be. Food that works with nature, not against it. Food you can trust. Over the years, this commitment to the ethics and standards of organic has remained fundamental to Abel & Cole. It’s an all-encompassing ethos and way of working that resonates with every employee, supplier and partner. It’s reflected in the way that Abel & Cole constantly innovates to reduce their environmental impact – like planning the most efficient deliveries or replacing polystyrene with WoolCool®. It’s shown in the way Abel & Cole works with suppliers, often helping farmers on their journey to organic certification. It’s demonstrated by the charitable initiatives started by Abel & Cole employees – from van and food donations to community work. For a network of people who are passionate and proud to do things the right way, becoming a B Corp member is the perfect fit.","August, 2018","London, London, United Kingdom",Wholesale/Retail,www.abelandcole.co.uk,88.4,9.3,22.5,24.9,31.5,
ME to WE Social Enterprises Inc.,"Me to We is an innovative social enterprise that provides products that make an impact, empowering people to change the world with their everyday consumer choices. Me to We measures the bottom line by the people empowered and the lives transformed.","November, 2015","Toronto, Ontario, Canada",Wholesale/Retail,www.metowe.com,108.0,11.7,17.1,46.7,8.3,24.2
The Sustainable Recruiter & Greenjobs,"The Sustainable Recruiter is a new kind of recruiter that solely works for companies with a social and sustainable mission statement. Greenjobs, its second label, is a job board where matching sustainable companies and committed employees can find each other. Together, The Sustainable Recruiter and Greenjobs aim to get everyone in the Netherlands to work in the sustainable industry. This way, the sustainable industry will become bigger and bigger, making it possible to offer new and more sustainable jobs in return, with the goal of making the world a better place. The Sustainable Recruiter and Greenjobs help young start-ups and big corporations (from environmental to social companies and purpose driven companies with a clear sustainable mission) by offering different recruitment and job board services. As a result, they create a positive impact on the new economy and increase awareness about how your employment affects the planet.","October, 2019","Amsterdam, Noord-Holland, Netherlands",Service with Minor Environmental Footprint,greenjobs.nl,81.4,8.4,20.6,24.8,6.9,20.5
Physee,"Physee has developed fully transparant, energy and data generating windows: PowerWindow and SmartWindow. These windows transform both new buildings as well as retrofit projects into real smart and sustainable buildings.","September, 2017","Delft, South Holland, Netherlands",Wholesale/Retail,www.physee.eu,80.4,7.1,20.8,11.1,41.4,
Barner,"In Barner we deliver cool products to empower and help you better thrive in your digital life. They develop each of our products with a focus on innovation, design, comfort, and high-quality standards. At Barner, we deeply believe that every company should be giving back to society. Why? Because if every single company did that, the world would be better. For this reason, they've decided to join the 4 of the UN Sustainable Development Goals (SDGs).","October, 2020","Barcelona, Barcelona, Spain",Wholesale/Retail,www.barnerbrand.com,80.1,15.6,25.0,15.9,12.3,11.1
Herb UK Ltd,"They are challenging the conventional industry thinking, how hair colour works and what can be achieved with organic and plant ingredients. They innovate, manufacture, market and sell ever more natural and organic hair cosmetics.","October, 2020","Lymington, Hampshire, United Kingdom",Manufacturing,www.herbuk.com,83.6,17.2,24.2,18.1,21.9,2.0
ClearlySo Limited,"ClearlySo is a financial intermediary, focused on impact investment. ClearlySo works with high-impact businesses and funds and supports their capital raising activity through financial advisory work, and introduction to investors.","September, 2015","London, London, United Kingdom",Service with Minor Environmental Footprint,www.clearlyso.com,90.2,17.9,24.6,12.6,7.8,27.3
Hora Salud,"Hora Salud is committed to generating tailored services that improve people³s quality of life as well as improving the efficiency of Health Centers. The Hora Salud platform allows users to make and cancel doctors appointments via SMS, so that they don't have travel to a Health Center, wait hours to book a time, when they are already feeling ill. The users also receive a reminder SMS of their appointment. Hora Salud is a simple, user friendly and economical system for the user to interact with and it is a powerful tool to support health centers with their activities, as it reduces the number of last minute cancelations. The system can be applied in different markets and scenarios which have a business intelligence platform and seek for the efficient implementation of public policies and other relevant information. We are committed to our purpose and we wish to maintain it in time, for it is necessary to make a formal commitment and ensure that future partners and collaborators are in line with our purpose. In addition, the B Corp ecosystem promotes best practices and we power motivation and enthusiasm to make every day a better world together with others who are on the same page. We want to do well and create an impact in the triple bottom line, so we need to work hand in hand with experts in the field. The Change We Seek Improving the quality of peoplé³s lives, optimizing service delivery and decision making with reliable and quality data.","October, 2014","Santiago, Santiago, Chile",Service with Minor Environmental Footprint,www.horasalud.cl,117.8,12.3,26.6,32.5,7.4,39.0
"Taitem Engineering, PC","Taitem Engineering is a full-service consulting engineering firm at the forefront of innovative, sustainable design and building science. Founded in 1989 with a focus on energy efficiency and green building design, its team of design engineers, energy analysts, and sustainability consultants works with clients to help create new high-performing buildings and improve the performance of existing buildings. Taitem also works with state and local agencies to ensure their energy programs deliver savings. Taitem’s award-winning solar division has installed hundreds of solar photovoltaic systems for homes and businesses. Additional services include mechnical/electrical/plumbing/fire protection/structural design, energy audits, commissioning, LEED consulting, energy modeling, Aeroseal duct sealing, applied research, and demonstration of emerging technologies. Their name is an acronym for Technology As If The Earth Mattered and represents the firm's commitment to apply technology thoughtfully for the benefit of the earth and for the living beings that depend on it.","May, 2013","Ithaca, New York, United States",Service with Minor Environmental Footprint,taitem.com,91.9,10.4,25.3,22.2,34.0,
Truefaux Films Inc,"By providing impactful videos, Truefaux is dedicated in supporting people and organizations that make positive social and cultural change. At Truefaux Films, they are storytellers. They listen to who you are, what you are about, and to the heart of what you want to say. They create compelling video, communicating your values to the audience.","February, 2019","Dartmouth, Nova Scotia, Canada",Service with Minor Environmental Footprint,truefaux.ca,85.1,4.5,,38.3,15.1,27.1
Yoni,"Yoni leads a bloody revolution in the fem care industry Peacefully, of course. They believe all women have the right to know what their most intimate products are made of. That’s why Yoni is transparent about the ingredients in their tampons, pads and pantyliners. What’s in the box is on the box. It may sound normal, but it’s actually exceptional. Because most mainstream brands don’t list their ingredients. By sharing their story on mainstream shelves, Yoni inspires them to open up. A vagina is highly absorbent. Just like Yoni's tampons, pads and panty liners. That’s why they make them from organic cotton. No plastics, no perfume, no added anything. Yoni start a healthy conversation about periods. They break taboos and don’t pussyfoot around the topics of menstruation and vaginas. Every decision Yoni make, they try to make with the best for the environment, each other and themselves in mind. All of their products are made from organic cotton certified by the SOIL Association according to Global Organic Textile Standards. This means that they meet high-level environmental criteria and social standards. In Yoni's supply chain they work together with partners who share their ideals and continuously try to innovate sustainably.","April, 2018","Amsterdam, Noord Holland, Netherlands",Wholesale/Retail,www.yoni.care/en,80.0,10.0,18.7,19.7,25.4,6.2
greenApes,"greenApes is a digital platform engaging citizens, customers and employees in sustainable behaviours","June, 2016","Campi Bisenzio, Firenze, Italy",Service with Minor Environmental Footprint,www.greenapes.com/en,83.8,20.2,22.6,22.4,18.4,
Solios Watches,"Solios creates solar-powered, sustainable, and cruelty-free watches. Where technology, sustainability and beauty come together. Founded in 2019 in Montreal, they wanted their community to be part of something bigger. Welcome to a world without compromise. A world where beautifully-crafted timepieces embody what the future could hold: a greener and better planet. Present mostly on the web, they offer a personalized experience and reinvent customer experience with their instant custom engraving, unique handmade luxurious packaging, and one of a kind customer service. From their solar technology, choice of materials, ethical production, and complete review of the manufacturing process, everything has been thoughtfully developed to represent a new era in the watch industry.","December, 2020","Montreal, Québec, Canada",Wholesale/Retail,www.solioswatches.com,89.5,13.8,21.4,19.6,30.6,3.9
Oster Design,"Oster Design are agents of transformation, allowing people to explore their potentials to the fullest. They translate content in the form of aesthetics and design, stimulating ""Feeling Well Being"" and ""Creativity for Everyone"" in the spaces they occupy and projects they create. They use the tools that the design provides, in a creative and playful way. They bring values ​​of diversity, holistic and welcoming. The doing that transforms .","March, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",Service with Minor Environmental Footprint,osterdesign.com,84.6,16.1,,35.2,8.2,25.0
Adara Advisors,"Adara Advisors is a niche financial service provider to global private equity and hedge fund managers, raising capital from wholesale clients (mainly superannuation funds and other institutional bodies) and high-net-worth individuals. Adara Advisors exists for the sole purpose of delivering financial services expertise at the highest levels to clients, with fees generated on transactions going to directly benefit people living in extreme poverty. Since inception to December 2016, the two Adara businesses, Adara Advisors and Adara Partners, have donated more than AU$10million to Adara Development. Adara Development is focused on improving health and education for women, children and communities living in poverty. They are experts in maternal, neonatal and child health; and remote community development and reach tens of thousands of people living in poverty each year. Adara wants to change the way people think about the role of business in the world and the power of business/non-profit partnerships. They want to be a model for the financial services sector to demonstrate that it is possible to use mastery for purpose to have an impact on the lives of people living in poverty.","February, 2016","Sydney, New South Wales, Australia",Service with Minor Environmental Footprint,www.adaragroup.org,82.7,11.4,26.6,37.4,7.2,
BLUEPHAGE,"The start-up aims to develop and market microbiological parameter analysis kits in water, as well as to provide learning services consulting clients.","February, 2021","el prat de llobregat, Barcelona, Spain",Manufacturing,www.bluephage.com,81.5,14.7,22.4,21.4,20.3,2.5
Vivid Story,"Vivid Story is a studio in NYC that creates films and experiences that move us towards a better future. They are an experienced, women-led team of artists and filmmakers who are devoted to amplifying causes and shifting policy. At the intersection of art and social change, Vivid Story works with organizations who want to use storytelling and immersive experiences as vehicles for championing the visionary ideas that our world needs right now. The B Corp model encourages higher standards of social and environmental performance, transparency, and accountability. Vivid Story values positive social impact and sustainability. They became a Certified B Corporation because they understand that lasting change starts from within. They are committed to cultivating a workplace where each person is propelled by purpose and respect. They are proud to be part of this movement using business as a force for good.","February, 2017","BROOKLYN, New York, United States",Service with Minor Environmental Footprint,vividstory.co,91.3,13.7,,38.3,11.1,28.0
Charity Bank,"Charity Bank is an ethical savings and loans bank with a mission to use money for good. Charity Bank lends solely to charities, social enterprises and other organisations where the loan is for social purpose. Since 2002, it has used the money saved with it to provide over £170 million of loan finance to support organisations which are working to enrich and improve society.  Savings with Charity Bank become part of a social mission. They may be used to extend sports centres, increase access to education for excluded young people, open a safe house for victims of domestic violence, provide homes for those on low incomes or regenerate deprived areas of the country, as examples. Charity Bank is entirely owned by charitable foundations, trusts and social purpose organisations. Charity Bank works in, and for, the social sector. Almost two-thirds of the projects financed by Charity Bank would not have gone ahead otherwise. Its loans support a wide range of organisations, including arts, community, education, environment, faith, health, housing, regeneration, social care and sports.","December, 2014","Tonbridge, Kent, United Kingdom",Service with Minor Environmental Footprint,www.charitybank.org,128.7,18.6,24.7,37.4,13.6,34.4
Marque Lawyers,"Marque is a law firm that does not measure the value of its people or its services in six minute units of time. Marque does not charge by the hour. It does not charge for any of the stuff that is disconnected from the real value of what it does. It invests in long term relationships with its clients, and it measures the value of its services in the same way they do.  The legal industry is deeply cynical and has departed from the ethical foundations on which it was built. It has become an engine for the amoral and antisocial pursuit of money and it generates enormous unhappiness. Marque Lawyers seeks to change that by redesigning legal practice from the ground up.","March, 2016","Sydney, New South Wales, Australia",Service with Minor Environmental Footprint,www.marquelawyers.com.au,80.5,11.1,34.7,22.0,7.4,5.1
Boomera,Boomera work with cutting-edge technology and connect the entire production chain to transform waste in raw material again.,"December, 2017","São Paulo, São Paulo, Brazil",Manufacturing,boomera.com.br,96.1,7.9,20.7,15.1,52.4,
Wesley,"Wesley is a family business that has worked in Bariloche with equestrian tourism since 1987. They have always worked closely with the environment where they live. Wesley develops programs for tourists who want to ride through Patagonia, they offer different programs for events and conventions in the place. In 2014, they started to produce Craft Beer with the very clear idea of ​​having an impact, so they built an industry that reuses all the waste it produces and achieves high quality standards in their product. Somos una empresa familiar que desde 1987 trabaja en Bariloche con turismo ecuestre. Siempre hemos estado en estrecha relación con el medio donde vivimos. Desarrollamos programas para turistas que quieran cabalgar por la Patagonia, ofrecemos distintos programas para eventos y convenciones en el lugar. En el año 2014 comenzamos a producir Cerveza Artesanal con la idea muy clara de no tener un impacto por lo que hemos construido una industria que reutiliza todos los desperdicios que produce y logrando altos estándares de calidad en nuestro producto.","September, 2019","San Carlos de Bariloche, Río Negro, Argentina",Manufacturing,cervezawesley.com,94.0,11.7,26.2,13.1,42.9,
Maths Pathway,"Maths Pathway is a social enterprise which exists to dramatically reform the teaching and learning of mathematics in schools. The way they do this is two-fold. Firstly, Maths Pathways give teachers the power to change via a learning model which is outstanding in its impact, supported an enabled by recourses/technology, teacher professional development, and institutional change-management.  Secondly, they share a desire for change by building and growing a movement of teachers, schools and other stakeholders committed to seeing this reform adopted as widely as possible. Every student deserves to have success in maths. Our holistic, curriculum-aligned model enables teachers to target every student's individual point of need. Supporting students to develop a growth mindset is a cornerstone of our Learning and Teaching model, empowering them to challenge themselves, tackle complex concepts, and find the joy in learning.","December, 2016","Melbourne, Victoria, Australia",Service with Minor Environmental Footprint,www.mathspathway.com,101.8,8.7,21.4,14.7,7.2,49.6
Tátil Design,"Somos curiosos, inquietos, acreditamos na soma de conhecimentos e competências, desenhamos ideias de um jeito coletivo. Não nos chamamos Tátil por acaso. Criamos estratégias, expressões e experiências concretas. Ideias que viram realidade, dão resultado e fazem diferença no mundo. They are curious, restless, believe in the sum of knowledge and skills, and they design ideas in a collective way. They don't call ourselves Tactile by chance. They create strategies, expressions and concrete experiences. Ideas that became reality, give results and make a difference in the world.","October, 2020","Rio de Janeiro, Rio de Janeiro, Brazil",Service with Minor Environmental Footprint,www.tatil.com.br,81.8,14.6,27.2,26.8,10.2,2.9
And Rising,Creative partner to the rising brands of tomorrow.,"November, 2016","London, London, United Kingdom",Service with Minor Environmental Footprint,www.andrising.com,84.5,15.0,36.5,22.5,4.7,5.5
Ooh Cha Cha LLC.,"Ooh Cha Cha is a plant-based restaurant that serves food based on the following ideas: simple ingredients, real foods, and whole nutrition. With so many choices and so much information out there, it can seem like a battle to live a healthy and thoughtful lifestyle. They bring food prepared with thought and love to support the community and the environment.","August, 2020","Da'an, Taipei, Taiwan",Service with Significant Environmental Footprint,https://oohchacha.com,92.3,5.6,18.0,35.8,32.0,0.8
TANIA ELLIS - The Social Business Company,"The Social Business Company® is a purpose-driven Scandinavia-based speaking, network, training and consulting company that puts social business trends and practices into words and action. Their mission is to inspire and help companies and entrepreneurs put economic and social value creation into the heart of their business and organization with the following services: • Social Business Speaking (inspirational talks & trends) • The Social Business Club (networking & events) • Social Business Consulting (business development) • Social Business Academy (certifications & training)","August, 2019","Copenhagen, Copenhagen, Denmark",Service with Minor Environmental Footprint,www.taniaellis.com,90.1,10.8,24.1,22.9,6.7,25.3
LAUDE the Label,"LAUDE the Label empowers women around the world to find financial freedom through safe and meaningful employment at living wages. As a company, we measure success by impact, not profits. Our model is moving the fashion industry toward a more humane approach, where the Earth and the maker are valued equally to the customer.","December, 2019","Fort Worth, Texas, United States",Wholesale/Retail,laudethelabel.com,81.4,6.8,17.2,41.2,12.7,3.4
Pixellu,"Pixellu was co-founded in 2010 by two wedding photographers. The company was founded on the principle that the only way to do great work is to love what you do. They love their customers, products, and company. Pixellu give their customers simple, beautiful, and reliable tools that empower them to do great work. The solutions they offer save customers' time, allowing them to enjoy the things that truly matter: being creative and spending time with family and friends. They acknowledge that a product is more than what a customer sees. A product is everything that went into making it happen. Like happy employees who enjoy coming to work. Local suppliers who need support to continue delivering high quality products. And suppliers in developing countries who deserve more business, more mentorship, and more assistance to continue doing what they love.","April, 2015","Seattle, Lesser Poland, Poland",Service with Minor Environmental Footprint,www.pixellu.com,80.1,15.2,28.6,27.0,9.3,
"Dev Equity, LLC","Dev Equity is an innovative impact investment manager that provides long-term capital and support to commercially viable, socially responsible businesses. The purpose of Dev Equity is to generate development impact and capital appreciation returns by making investments in small and medium sized companies in a variety of sectors in select low-income countries in Latin America. Dev Equity makes individual investments from around 500,000 to 2,000,000 USD in companies owned and operated by experienced professionals who have a track record of success. Dev Equity prefers to take active minority ownership positions in portfolio companies, through strong governance rights and financial controls, and focusing on realistic exits. Dev Equity’s approach is to work directly with portfolio companies to achieve financial returns and a positive social and environmental impact. Dev Equity seeks to invest in private companies motivated to move towards international best practices of social and environmental performance, transparency, and accountability.","November, 2014","Tucson, Arizona, United States",Service with Minor Environmental Footprint,www.devequity.com,99.1,20.2,22.0,6.3,7.3,43.0
UrbanVolt,"For smart businesses that want to reduce their carbon footprint, UrbanVolt makes everything about an LED lighting upgrade easy. Unlike traditional lighting companies, UrbanVolt funds the installation cost in return for a proportion of the savings.","July, 2018","Ranelagh, Dublin, Ireland",Service with Significant Environmental Footprint,urbanvolt.com,84.2,10.5,25.6,21.4,26.5,
bambu,"We create high quality, hand made products for preparing and serving food, and for life on-the-go, made with sustainable materials and responsible business practices.","January, 2018","Portland, Oregon, United States",Wholesale/Retail,www.bambuhome.com,81.7,11.1,20.7,23.4,26.5,
"Smart Set, Inc.","Fun, funky boutique print shop, serving non-profits, artists, entrepreneurs and companies large and small for 30 years. As printing becomes more and more of a commodity, Smart SetÕs niche is full-service, hands-on innovative solutions utilizing the latest technology to preserve centuries old standards of print and design. From business identity systems to packaging, Smart SetÕs technicians (all of whom have art degrees) merge the creative and technical in all they do, combining the highest level of software and hardware expertise with carefully chosen technology, process and materials. Values define service defines product. B Corp certification is a Ôpat on the backÕ for how we intrinsically work, with our hands, our heads, and our hearts, as well as keeping us accountable and providing networking opportunities with like-minded organizations.","April, 2016","Minneapolis, Minnesota, United States",Service with Significant Environmental Footprint,smartset.com,81.5,9.3,19.5,20.0,25.7,6.8
"MRW Connected, Inc.","For eight years, MRW Connected has provided custom web solutions to educators, non-profits, social entrepreneurs, and just about anyone else working to make the world a better place. Whether designing an expansive Intranet to serve a city’s school system or developing a simple blog for a local non-profit, MRW works with its clients to help them define and maximize their voice to strengthen connections with their audience. In 2005, the founders and owners, Tom Willits and Jeff Mackler, created MRW Connected to provide a comprehensive combination of services to like-minded organizations and individuals—people working hard in areas such as sustainability, social justice, and education. To help support such vital efforts, MRW’s work includes designing and developing websites, web-based stores, and web solutions; creating and customizing social networking platforms and extensions; providing ongoing tech support; overseeing multi-language content creation and editing; developing user-friendly data fields, queries, and displays; and managing communication and marketing services, including development of media campaigns and internal/external communications.","August, 2013","Easthampton, Massachusetts, United States",Service with Minor Environmental Footprint,mrwconnected.com/,100.5,18.2,35.5,23.5,6.9,16.4
Quantified Ventures,"Quantified Ventures is an outcomes-based capital firm that drives transformative health, social, and environmental impact.","December, 2019","Chevy Chase, Maryland, United States",Service with Minor Environmental Footprint,quantifiedventures.com,85.3,9.5,33.5,18.7,6.8,16.6
Habitech - Energy and Environment District,"Habitech - Distretto Tecnologico Trentino - has 130 members, 116 of those private companies and 14 public companies/agencies. Based in Rovereto, in the Italian Dolomites region, Europe, Habitech works at the national and international level. Habitech is recognized by the Italian Ministry of University and Research (MIUR) as leading national centre for green building, renewable energy and innovation.","December, 2014","Rovereto, Trento, Italy",Service with Significant Environmental Footprint,www.habitech.it,83.0,7.2,20.0,13.6,40.7,1.3
VerdeActivo,"VerdeActivo believes in a different way of living and designing cities, of understanding and relating to the environment and among ourselves, motivating an urban development focused on people and environmental care, to leave cities better than they were found. They believe in the social and environmental impact of their actions. They are a Certified B Corp and they are proud to belong to the Community of B Corps in the world. They carry out concrete actions that improve the quality of life of the inhabitants of the cities and contribute to improving the environment, encouraging the participation of communities and environmental care, generating solutions of social, environmental and economic impact for current buildings and future projects .","November, 2018","Recolecta, Santiago, Chile",Service with Significant Environmental Footprint,verdeactivo.cl,88.6,5.6,27.3,18.9,36.6,
REPÚBLICA DEL CACAO,"In República del Cacao they promote the sustainable development of fine Aroma Cacao in its origin to produce high-end Latin American chocolate. They are a local brand with global impact: their chocolate is produced locally with Latin American ingredients, they combine these high quality raw materials with the expertise of a trained team and the highest technology. Their commitment to the protection of Fine cocoa in their region and the farmer goes beyond buying at fair prices, but extends to technical support and the application of responsible farming practices, promoting the protection of native varieties of fine cocoa. . They focus on working in a direct alliance with supplier allies, eliminating intermediaries, managing projects that guarantee triple impact (social, environmental and economic) in their value chain. In this way they guarantee a chocolate of quality and traceability.","May, 2020","Quito, Pichincha, Ecuador",Manufacturing,republicadelcacao.com,91.9,18.0,23.9,29.7,16.4,3.7
EDMIRE,"Edmire is an impact design company on a mission to help businesses develop sustainable products and services. As businesses are increasingly looking for sustainable and conscious solutions, environmental commitment - apart from being a societal responsibility - has evolved into a strategic opportunity and a distinctive driver for growth. Circular design, design for disassembly and behaviour change are some of the sustainable design principles they rely on to deep-dive in organisations, and ultimately co-create tomorrow's solutions. Passion, transparency and consciousness are their core values to inspire, ignite, and accelerate the process of sustainable innovation and build a future proof economy.","October, 2019","Antwerpen, Antwerp, Belgium",Service with Minor Environmental Footprint,edmire.design,83.9,12.3,32.9,17.2,7.8,13.5
Beyond - be extraordinary,"Beyond - be extraordinary is a company that drives the potential to be extraordinary, by empowering and transforming people and businesses to positively impact the ecosystem. It offers training and organizational advisory services in conscious leadership, culture and purpose so that leaders develop the necessary skills to successfully manage the changes that the environment and the market require. Beyond - be extraordinary es una empresa que impulsa el potencial para ser extraordinarios, mediante el empoderamiento y la transformación de las personas y empresas para impactar positivamente al ecosistema. Ofrece servicios de capacitación y asesoría organizacional en liderazgo, cultura y propósito conscientes para que los líderes desarrollen las habilidades necesarias para gestionar exitosamente los cambios que el entorno y el mercado requieren.","December, 2019","Tumbaco, pichincha, Ecuador",Service with Minor Environmental Footprint,www.beyond.ec,81.3,7.6,24.7,23.1,2.5,23.2
Harrogate Spring Water,"Harrogate Water is super proud to carry the baton for today’s generation and future generations, in providing natural source water for all to enjoy from the beautiful spa town of Harrogate. The business is at the heart of the community; a centre of manufacturing excellence, quality employment and training, balancing performance with environmental sustainability and social engagement. The story begins in 1571 when the town’s unique waters were discovered by the physician to Queen Elizabeth; the town later became the first British spa and Harrogate water was bottled in 1740, becoming the original British bottled water. Today, Harrogate Spring is celebrated for its history and heritage, provenance and taste, the official water of Royal Ascot and the Royal Albert Hall and the water of choice for British Airways and Hilton Hotels. It’s the No1 British premium bottled water and ‘out of home’ water brand. With each step to improve performance and environmental efficiency, Harrogate Water seeks to give something back. This ethos was behind the launch of Thirsty Planet water. To date, more than £2.3 million has been raised for charity partner Pump Aid, providing clean water, improved sanitation and sustainable job creation for communities in sub-Saharan Africa.","February, 2020","Harrogate, North Yorkshire, United Kingdom",Manufacturing,www.harrogatespring.com,80.0,14.9,19.9,20.8,24.3,
Ecobooth,"Ecobooth transforms plastic waste into engaging, thought provoking customer experiences.","February, 2020","London, London, United Kingdom",Manufacturing,www.ecobooth.co.uk,87.9,7.7,22.9,16.9,36.8,3.5
Clover Sonoma,"For over 100 years, Clover has supported ideas that promote a healthy, conscious, sustainable way of life forward for their family of farms, animals and communities. Clover is a third-generation family-owned and operated dairy company whose core pillars are quality, support of animal welfare, sustainable business practices, and giving back to the communities they reach. The Petaluma-based company in California’s beautiful Sonoma County was the first dairy in the United States to become American Humane Certified and hold its partnership of family-owned dairy farms to a higher standard by developing its own unique Clover Promise of Excellence program. Clover is proud to bring clean, rBST-free and delicious dairy products direct from their farms to consumers. Clover Sonoma’s brand mission is to use their best knowledge to produce quality dairy that honors their care for family farms, animals, the environment and communities they serve.","December, 2016","Petaluma, California, United States",Manufacturing,www.cloversonoma.com,100.5,14.2,24.6,31.6,26.3,3.5
TechFuture,"Search, selection and marketing of innovative technological products, aimed at personal and family security. Focus on older adults and people in vulnerable situations. Búsqueda, selección y comercialización de productos tecnológicos innovadores, orientados a la seguridad personal y familiar. Foco en Adultos Mayores, Personas en situación de vulnerabilidad.","March, 2020","Ciudad Autónoma de Buenos Aires, Buenos Aires, Argentina",Wholesale/Retail,techfuture.com.ar,93.1,14.0,,67.8,0.5,10.6
IMPAQTO,"IMPAQTO is a social enterprise that works as a coworking space where events, training and workshops are conducted in order to facilitate and ease connections and collaboration among individuals and organizations seeking to have a positive impact with their projects or business involving social, cultural and environmental areas. Their mission is to promote and welcome change agents in Ecuador in order to convert their ideas into impact through social innovation. They believe in entrepreneurs committed to social impact and their differentiating ideas, that are designed for personal gain and also build a more friendly and productive society.","March, 2016","Quito, Pichincha, Ecuador",Service with Minor Environmental Footprint,www.impaqto.net,98.1,14.0,21.6,25.6,5.0,31.8
"High Impact Financial Analysis, LLC","High Impact works with lenders and investors nationwide to intelligently direct capital to projects benefiting at-risk and underserved communities. Their services are trusted by a wide range of financing providers, from small non-profit loan funds to nationwide Community Development Financial Institutions, and from municipal agencies to socially responsible investment managers. They help lenders balance mission and risk responsibly, so that they can increase their impact in the communities they serve while growing their access to capital and ensuring their stability as long-term resources for at-risk communities. High Impact specializes in underwriting and lending related analysis. Their team has expertise in a wide range of lending and subsidy programs, covering the full cycle of real estate development, the most common subsidy, guaranty, and tax credit programs, and small business loan programs. Their specialties include affordable housing, New Markets Tax Credits, charter schools, and Small Business Administration-guaranteed lending.","June, 2016","Albany, New York, United States",Service with Minor Environmental Footprint,www.highimpactanalysis.com,92.5,10.7,27.7,20.3,3.2,30.3
Town Square Spaces Ltd.,"Town Square’s mission is to make a positive impact on individuals, and therefore society as a whole. They want to support people to be part of the modern economy by connecting a community of like-minded start-ups, and are building these communities in areas in need of regeneration. Town Square offer support for people to start and grow their own businesses. As well as operating a number of coworking spaces, they run an accelerator programme for high-growth businesses, a club to help people develop their business idea while still working, and an online platform where anyone wanting to start a business can find a range of helpful resources and a community of like-minded entrepreneurs. Innovation and open-mindedness are key to their mission. Gone are the days when business meant a room full of suits – Town Square do things differently. They strongly believe that everyone can start a business, and create a friendly and supportive environment to help people achieve their dreams and reach their full potential. Because why shouldn’t work be fun? The founders grew their first space in one of the most deprived areas in Europe, but it is now one of the largest coworking communities in the UK. It has created £53million GVA uplift, 620+ jobs and supported 350+ businesses.","April, 2019","Caerphilly, Wales, United Kingdom",Service with Significant Environmental Footprint,www.thetownsquare.co.uk,80.5,8.5,19.5,26.0,10.8,15.5
COESIO,"At COESIO, they analyze organizational problems in order to find the relevant strategic levers. They encourage companies to review their management practices and help them transform the strategy and business components. They work with clients to develop their capabilities to enable their organizations to gain lasting benefits, seize new opportunities and improve their overall performance. A partner of choice from small to large organizations, COESIO, based in Montreal, is distinguished by its team of multidisciplinary experts and its global service offering, ranging from diagnostics to global strategic planning. Working for more than 5 years in all the national territory, COESIO accompanies its customers by allowing them to increase their corporate value through the implementation of eco-responsible actions. Chez COESIO, les problèmes d'organisation de la clientèle sont analysés afin de trouver les leviers stratégiques pertinents. Les entreprises sont encouragées à revoir leurs pratiques de gestion et à transformer leur stratégie et composantes opérationnelles. Coesio accompagne ses clients afin de développer leurs capacités permettan à leurs organisations d’acquérir des avantages durables, de saisir de nouvelles opportunités et d’améliorer leur performance globale.","September, 2018","Montreal, Québec, Canada",Service,coesio.com,85.0,11.1,26.1,31.0,4.9,11.7
SYMBIOSIS CONSUMER GROUP LIMITED,"When environmentalists tell us that 45% of the world's available land is used to support livestock products, thet know that it is time to use a green plate to recover the world's land. Rice, wheat, beans, fruits and vegetables, sharing the world's beauty and a lifestyle based on a sustainable and pure plant culture. They will use a green plate to recover the world's land.","October, 2020","TAIPEI, TAIPEI, Taiwan",Service with Significant Environmental Footprint,www.vegandaohe.com.tw,90.8,7.4,23.6,27.0,29.4,3.2
